t,x,y,z,w
0.000500,3.000000,-0.013500,2.999990,0.001500
0.001000,2.999990,-0.027000,2.999973,0.003000
0.001500,2.999973,-0.040499,2.999949,0.004500
0.002000,2.999949,-0.053999,2.999919,0.006000
0.002500,2.999919,-0.067497,2.999882,0.007500
0.003000,2.999882,-0.080996,2.999838,0.009000
0.003500,2.999838,-0.094493,2.999787,0.010500
0.004000,2.999787,-0.107990,2.999730,0.012000
0.004500,2.999730,-0.121486,2.999666,0.013499
0.150000,2.726497,-3.697924,2.708032,0.435607
0.300000,2.172677,-5.869658,1.967495,0.803365
0.450000,1.716538,-6.628482,1.017392,1.092502
0.600000,1.385990,-6.775297,0.007994,1.324770
0.750000,0.883355,-6.581006,-0.999587,1.499497
0.900000,-0.189909,-5.523948,-1.923042,1.559915
1.050000,-1.881949,-2.931398,-2.575850,1.408684
1.200000,-3.504528,0.657791,-2.746976,0.996935
1.350000,-4.308051,3.565522,-2.411385,0.398891
1.500000,-4.379343,5.001158,-1.751299,-0.258652
1.650000,-4.191486,5.479962,-0.957900,-0.902660
1.800000,-3.851966,5.624251,-0.122585,-1.509203
1.950000,-2.944255,5.450209,0.714554,-2.029631
2.100000,-0.898476,4.403818,1.467981,-2.332726
2.250000,2.067628,2.166492,1.972093,-2.248195
2.400000,4.621059,-0.431309,2.096774,-1.731227
2.550000,5.845550,-2.225453,1.882853,-0.929094
2.700000,6.099310,-3.040699,1.477946,-0.025625
2.850000,5.987140,-3.380067,0.993540,0.883668
3.000000,5.498279,-3.631596,0.467234,1.752602
3.150000,3.976829,-3.744481,-0.089904,2.480486
3.300000,0.908623,-3.316715,-0.628522,2.863271
3.450000,-2.829394,-2.193918,-1.047899,2.714215
3.600000,-5.507281,-0.909436,-1.277400,2.066991
3.750000,-6.615482,-0.033994,-1.341256,1.140897
3.900000,-6.848568,0.417740,-1.308668,0.124906
4.050000,-6.733744,0.768937,-1.220531,-0.897797
4.200000,-6.009309,1.340361,-1.066104,-1.865402
4.350000,-3.894771,2.197767,-0.802559,-2.628573
4.500000,-0.295234,2.971582,-0.409868,-2.953353
4.650000,3.311932,3.202524,0.061135,-2.713203
4.800000,5.463212,2.956927,0.526464,-2.033006
4.950000,6.249590,2.616055,0.943706,-1.142079
5.100000,6.436196,2.309973,1.313382,-0.186636
5.250000,6.314042,1.783570,1.625671,0.774747
5.400000,5.431261,0.580200,1.813275,1.669580
5.550000,3.149809,-1.435018,1.755753,2.330596
5.700000,-0.108957,-3.522373,1.376552,2.560462
5.850000,-2.837336,-4.723937,0.743710,2.323105
6.000000,-4.247255,-5.004407,0.005690,1.775481
6.150000,-4.755408,-4.890908,-0.738716,1.093181
6.300000,-4.951317,-4.584649,-1.452806,0.363173
6.450000,-4.925403,-3.699456,-2.085145,-0.382222
6.600000,-4.235673,-1.604620,-2.499396,-1.080896
6.750000,-2.522194,1.578977,-2.506740,-1.598612
6.900000,-0.354645,4.480529,-2.037347,-1.811970
7.050000,1.262178,5.999355,-1.232391,-1.732292
7.200000,2.060909,6.402665,-0.292912,-1.474173
7.350000,2.423565,6.357296,0.667300,-1.135154
7.500000,2.739278,5.953474,1.597430,-0.748545
7.650000,3.078787,4.584851,2.404427,-0.311155
7.800000,3.145918,1.650649,2.889951,0.161775
7.950000,2.639073,-2.150775,2.850519,0.602595
8.100000,1.779932,-5.073510,2.287623,0.934667
8.250000,1.057371,-6.403489,1.408549,1.143350
8.400000,0.626356,-6.750347,0.414662,1.266525
8.550000,0.274064,-6.720706,-0.599258,1.335017
8.700000,-0.346421,-6.188490,-1.577325,1.334667
8.850000,-1.445903,-4.432113,-2.392841,1.205381
9.000000,-2.744665,-1.170298,-2.826056,0.888854
9.150000,-3.581115,2.388337,-2.724962,0.404945
9.300000,-3.721414,4.714034,-2.171276,-0.149967
9.450000,-3.517634,5.662619,-1.379424,-0.694481
9.600000,-3.252797,5.937513,-0.504863,-1.202765
9.750000,-2.781576,5.942571,0.389732,-1.660275
9.900000,-1.618037,5.397316,1.250894,-2.001640
10.050000,0.553761,3.679267,1.947863,-2.091789
10.200000,3.115129,0.891398,2.296446,-1.812337
10.350000,4.876709,-1.729526,2.221665,-1.196966
10.500000,5.500998,-3.249698,1.832855,-0.406661
10.650000,5.515314,-3.860656,1.291670,0.423598
10.800000,5.292686,-4.123267,0.690979,1.237135
10.950000,4.581251,-4.269012,0.059427,1.987356
11.100000,2.708868,-4.037016,-0.571206,2.551411
11.250000,-0.487455,-3.007767,-1.110010,2.728427
11.400000,-3.802331,-1.363492,-1.440104,2.395497
11.550000,-5.827383,0.098819,-1.527449,1.652519
11.700000,-6.523299,0.937796,-1.441686,0.713656
11.850000,-6.600010,1.343727,-1.267383,-0.274795
12.000000,-6.356802,1.690720,-1.040855,-1.251632
12.150000,-5.350509,2.197605,-0.751161,-2.143733
12.300000,-2.865770,2.749572,-0.378189,-2.779363
12.450000,0.831905,2.953448,0.056257,-2.936742
12.600000,4.119903,2.642672,0.481037,-2.547934
12.750000,5.877274,2.128171,0.838534,-1.777789
12.900000,6.450762,1.722029,1.125114,-0.843229
13.050000,6.546104,1.392730,1.359097,0.135011
13.200000,6.284742,0.827844,1.530849,1.103971
13.350000,5.103356,-0.334779,1.576030,1.973863
13.500000,2.467732,-2.050217,1.399898,2.557934
13.650000,-0.930923,-3.591986,0.968127,2.671109
13.800000,-3.550914,-4.308586,0.364158,2.316756
13.950000,-4.813629,-4.353136,-0.290777,1.673845
14.100000,-5.242929,-4.165352,-0.930849,0.913343
14.250000,-5.381436,-3.812287,-1.532724,0.114180
14.400000,-5.211249,-2.878992,-2.045206,-0.686610
14.550000,-4.218019,-0.842980,-2.338435,-1.407148
14.700000,-2.131428,2.046156,-2.250746,-1.893641
14.850000,0.285385,4.520660,-1.743545,-2.027205
15.000000,1.979651,5.727000,-0.958566,-1.844004
15.150000,2.775809,5.994781,-0.071916,-1.478048
15.300000,3.120717,5.897408,0.822779,-1.033014
15.450000,3.384354,5.450765,1.680710,-0.544908
15.600000,3.555089,4.063405,2.410127,-0.021461
15.750000,3.280115,1.214710,2.822168,0.499079
15.900000,2.353816,-2.387301,2.731575,0.928099
16.050000,1.182765,-5.118196,2.148585,1.191683
16.200000,0.316393,-6.343923,1.271750,1.298120
16.350000,-0.155747,-6.645953,0.290588,1.306245
16.500000,-0.499002,-6.586772,-0.705392,1.257496
16.650000,-1.031881,-6.035152,-1.661633,1.146336
16.800000,-1.887167,-4.295827,-2.454860,0.930354
16.950000,-2.788106,-1.075344,-2.870882,0.576487
17.100000,-3.233084,2.490730,-2.755909,0.116918
17.250000,-3.130837,4.875356,-2.182629,-0.365376
17.400000,-2.823301,5.866587,-1.362849,-0.812181
17.550000,-2.530323,6.143136,-0.457131,-1.213471
17.700000,-2.102296,6.130166,0.466986,-1.564662
17.850000,-1.120945,5.577499,1.355482,-1.815662
18.000000,0.699474,3.851397,2.079322,-1.856155
18.150000,2.889523,0.962493,2.447862,-1.584091
18.300000,4.438931,-1.879012,2.367936,-1.020893
18.450000,4.989766,-3.603734,1.940144,-0.302853
18.600000,4.976786,-4.309002,1.337318,0.448389
18.750000,4.762103,-4.576175,0.668226,1.180977
18.900000,4.172447,-4.683137,-0.028657,1.858685
19.050000,2.617967,-4.389051,-0.717083,2.383003
19.200000,-0.182010,-3.236169,-1.300627,2.577223
19.350000,-3.318249,-1.344994,-1.647868,2.307523
19.500000,-5.411614,0.418234,-1.709375,1.633735
19.650000,-6.201548,1.466289,-1.558208,0.749388
19.800000,-6.309257,1.946464,-1.297476,-0.193661
19.950000,-6.120866,2.258318,-0.981960,-1.129796
20.100000,-5.341222,2.634271,-0.615844,-2.000731
20.250000,-3.271494,2.973895,-0.192606,-2.665195
20.400000,0.143739,2.926597,0.256715,-2.909203
20.550000,3.565293,2.367273,0.658446,-2.618290
20.700000,5.634837,1.647293,0.958292,-1.907448
20.850000,6.392099,1.118176,1.162265,-0.993128
21.000000,6.542236,0.772658,1.302926,-0.018842
21.150000,6.378202,0.340128,1.389437,0.955115
21.300000,5.492259,-0.504170,1.383330,1.858611
21.450000,3.232919,-1.821892,1.212330,2.530890
21.600000,-0.138146,-3.122187,0.835988,2.767458
21.750000,-3.160132,-3.789747,0.307658,2.504777
21.900000,-4.835515,-3.824411,-0.268922,1.887003
22.050000,-5.448926,-3.618009,-0.828039,1.106531
22.200000,-5.631039,-3.330547,-1.350794,0.272589
22.350000,-5.553940,-2.696104,-1.809875,-0.570960
22.500000,-4.805061,-1.218586,-2.115797,-1.359867
22.650000,-2.905972,1.193815,-2.124748,-1.951885
22.800000,-0.278554,3.655912,-1.752323,-2.191306
22.950000,1.895646,5.122919,-1.077953,-2.057122
23.100000,3.052601,5.561524,-0.266943,-1.673523
23.250000,3.520389,5.525205,0.567662,-1.175107
23.400000,3.767562,5.247710,1.379495,-0.627433
23.550000,3.918736,4.365082,2.111748,-0.048671
23.700000,3.685789,2.248179,2.624594,0.529132
23.850000,2.732816,-1.016716,2.723452,1.019290
24.000000,1.309370,-4.102261,2.325732,1.323340
24.150000,0.097573,-5.848591,1.560093,1.422223
24.300000,-0.595112,-6.414675,0.629788,1.378548
24.450000,-0.963804,-6.462385,-0.339655,1.259536
24.600000,-1.339699,-6.185230,-1.293807,1.088447
24.750000,-1.922241,-5.105772,-2.154878,0.846267
24.900000,-2.597561,-2.598021,-2.750458,0.505894
25.050000,-2.965875,0.951311,-2.876638,0.082191
25.200000,-2.820995,4.001848,-2.488066,-0.357338
25.350000,-2.419711,5.612742,-1.748366,-0.750999
