t,x,y,z,w
1.227500,-1.117995,-4.373359,-0.000419,0.456235
4.176500,0.703978,-4.436177,0.000698,0.447817
5.655500,-1.584856,4.190249,0.000656,-0.473436
7.139500,2.395510,-3.770833,0.000663,0.524258
8.633500,-3.099969,3.195964,-0.000876,-0.616864
8.634000,-3.099851,3.195964,0.000722,-0.618413
10.147000,3.660102,-2.491139,-0.000243,0.791120
11.706500,-3.991454,1.692634,-0.000793,-1.159375
11.707000,-3.990673,1.692635,0.000053,-1.161370
11.707500,-3.989888,1.692634,0.000899,-1.163365
13.442000,2.868961,-0.914413,0.000636,2.142078
13.442500,2.864041,-0.914414,0.000179,2.143508
13.443000,2.859112,-0.914414,-0.000279,2.144937
13.443500,2.854173,-0.914413,-0.000736,2.146363
15.453000,3.593074,1.082494,-0.000699,-1.806995
15.453500,3.596019,1.082494,-0.000157,-1.805197
15.454000,3.598956,1.082494,0.000384,-1.803396
15.454500,3.601884,1.082493,0.000925,-1.801595
17.123000,-3.897250,-1.885353,0.000236,1.034222
17.123500,-3.897802,-1.885353,-0.000707,1.032273
18.675500,3.472718,2.648465,-0.000813,-0.735346
18.676000,3.472916,2.648465,0.000511,-0.733610
20.196000,-2.858070,-3.301211,-0.000332,0.587536
21.704000,2.114631,3.811515,0.000557,-0.507723
23.207000,-1.280318,-4.156553,0.000356,0.464973
24.709000,0.392799,4.321221,-0.000660,-0.446254
26.212500,0.508806,-4.298398,-0.000885,0.447711
27.718500,-1.384938,4.089197,0.000147,-0.469552
29.230000,2.196677,-3.702971,0.000363,0.517153
30.751500,-2.906613,3.157075,0.000527,-0.606020
32.291000,3.476207,-2.476753,0.000744,0.769175
32.291500,3.475978,-2.476753,-0.000495,0.770913
33.876500,-3.825852,1.698024,-0.000929,-1.118927
33.877000,-3.825149,1.698024,-0.000080,-1.120839
33.877500,-3.824444,1.698024,0.000769,-1.122751
35.630000,2.923324,-0.925476,0.000984,2.048630
35.630500,2.919020,-0.925478,0.000522,2.050088
35.631000,2.914708,-0.925478,0.000059,2.051544
35.631500,2.910386,-0.925478,-0.000404,2.052998
35.632000,2.906055,-0.925477,-0.000867,2.054450
37.682000,3.379921,1.038113,-0.000589,-1.824579
37.682500,3.382954,1.038113,-0.000070,-1.822887
37.683000,3.385978,1.038113,0.000449,-1.821193
37.683500,3.388994,1.038112,0.000968,-1.819498
39.392000,-3.748573,-1.823625,0.000426,1.036019
39.392500,-3.749127,-1.823625,-0.000486,1.034144
40.975500,3.331892,2.573258,-0.000267,-0.732364
42.524000,-2.721991,-3.211373,0.000893,0.586080
42.524500,-2.722091,-3.211373,-0.000713,0.584719
44.060000,1.983856,3.705024,-0.000517,-0.506543
45.591000,-1.156617,-4.031126,0.000206,0.464393
47.121000,0.279247,4.174769,0.000874,-0.447357
48.652000,0.607922,-4.129475,-0.000929,0.451511
50.186000,-1.464146,3.897439,-0.000765,-0.476958
51.727000,2.249490,-3.489495,-0.000251,0.532085
53.279000,-2.925675,2.924858,-0.000391,-0.632889
54.855000,3.449469,-2.231250,-0.000013,0.828418
56.494000,-3.691466,1.451143,-0.000595,-1.269477
56.494500,-3.690441,1.451143,0.000130,-1.271322
56.495000,-3.689411,1.451143,0.000856,-1.273166
58.389500,1.201319,-0.787380,0.000626,2.335012
58.390000,1.194951,-0.787381,0.000232,2.335608
58.390500,1.188578,-0.787381,-0.000161,2.336201
58.391000,1.182201,-0.787380,-0.000555,2.336790
58.391500,1.175818,-0.787378,-0.000949,2.337377
60.408500,3.576873,1.229208,-0.000610,-1.493294
60.409000,3.578535,1.229209,0.000004,-1.491504
60.409500,3.580191,1.229208,0.000619,-1.489713
62.092000,-3.512252,-2.007134,0.000656,0.912581
62.092500,-3.512631,-2.007134,-0.000348,0.910825
63.689500,3.027961,2.713141,-0.000345,-0.673236
65.260500,-2.377915,-3.294340,0.000358,0.553252
66.821500,1.613262,3.720880,-0.000126,-0.488643
68.379000,-0.773817,-3.972164,-0.000734,0.456590
69.936000,-0.099753,4.036262,0.000688,-0.448569
71.495000,0.965617,-3.910226,0.000123,0.462026
73.059000,-1.782124,3.600220,-0.000135,-0.500742
74.632000,2.508999,-3.121368,-0.000402,0.576771
76.221500,-3.106077,2.497549,-0.000957,-0.717753
76.222000,-3.105891,2.497549,0.000292,-0.719306
77.852000,3.507751,-1.763143,0.000715,1.014862
77.852500,3.507227,-1.763143,-0.000166,1.016615
79.621000,-3.121371,0.997516,-0.000838,-1.789607
79.621500,-3.118501,0.997517,-0.000339,-1.791165
79.622000,-3.115624,0.997517,0.000160,-1.792722
79.622500,-3.112740,0.997516,0.000659,-1.794278
81.743500,-2.755386,-0.912185,0.000572,1.954911
81.744000,-2.759118,-0.912186,0.000115,1.953530
81.744500,-2.762841,-0.912185,-0.000341,1.952148
81.745000,-2.766557,-0.912184,-0.000797,1.950764
83.556500,3.499244,1.653551,-0.000462,-1.075913
83.557000,3.499865,1.653551,0.000365,-1.074163
85.205000,-3.120296,-2.384700,0.000222,0.744101
85.205500,-3.120502,-2.384699,-0.000970,0.742541
86.811000,2.531779,3.005709,0.000430,-0.588561
88.401500,-1.812191,-3.480708,-0.000373,0.507324
89.986000,1.003976,3.785458,-0.000382,-0.465811
91.569500,-0.148565,-3.904826,-0.000334,0.450543
93.154000,-0.711426,3.832985,-0.000768,-0.457926
94.743000,1.533009,-3.573640,0.000652,0.490036
96.340000,-2.274435,3.139942,-0.000645,-0.556441
96.340500,-2.274349,3.139942,0.000925,-0.557578
97.952500,2.894550,-2.554251,0.000783,0.682330
97.953000,2.894391,-2.554251,-0.000494,0.683777
99.600500,-3.336440,1.849173,-0.000826,-0.940303
99.601000,-3.336024,1.849173,0.000099,-0.941971
101.362500,3.233540,-1.088880,0.000505,1.594405
101.363000,3.231510,-1.088880,-0.000039,1.596020
101.363500,3.229474,-1.088879,-0.000583,1.597634
103.493000,2.035685,0.821394,-0.000939,-2.111004
103.493500,2.040385,0.821395,-0.000528,-2.109983
103.494000,2.045079,0.821396,-0.000117,-2.108959
103.494500,2.049765,0.821396,0.000293,-2.107933
103.495000,2.054445,0.821395,0.000704,-2.106905
105.390500,-3.394697,-1.517026,0.000660,1.140399
105.391000,-3.395437,-1.517027,-0.000098,1.138701
105.391500,-3.396173,-1.517026,-0.000857,1.137003
107.078000,3.063859,2.245568,-0.000368,-0.768333
107.078500,3.064085,2.245568,0.000755,-0.766801
108.714000,-2.498458,-2.868925,-0.000345,0.599483
110.331500,1.796513,3.348034,-0.000906,-0.513407
110.332000,1.796580,3.348034,0.000768,-0.512509
111.943000,-1.002953,-3.657300,-0.000554,0.468455
113.552000,0.160057,3.780735,-0.000515,-0.452422
115.163000,0.688279,-3.712073,-0.000710,0.459978
116.778000,-1.498147,3.454994,0.000512,-0.493298
118.401500,2.226654,-3.023051,0.000020,0.562388
120.042000,-2.831170,2.439455,-0.000602,-0.694855
120.042500,-2.831001,2.439455,0.000618,-0.696270
121.723000,3.247845,-1.738548,0.000436,0.973185
121.723500,3.247383,-1.738548,-0.000433,0.974808
123.539500,-2.973322,0.995900,-0.000703,-1.694492
123.540000,-2.970886,0.995900,-0.000205,-1.695977
123.540500,-2.968444,0.995900,0.000293,-1.697461
123.541000,-2.965995,0.995899,0.000791,-1.698943
125.724000,-2.447218,-0.868955,0.000948,1.940703
125.724500,-2.450869,-0.868957,0.000514,1.939477
125.725000,-2.454513,-0.868957,0.000079,1.938249
