t,x,y,z,w
0.000500,-11.998600,22.005150,2.800239,10.299561
0.001000,-11.997200,22.010300,2.800479,10.299122
0.001500,-11.995800,22.015449,2.800718,10.298683
0.002000,-11.994399,22.020598,2.800957,10.298244
0.002500,-11.992999,22.025747,2.801196,10.297805
0.003000,-11.991598,22.030896,2.801435,10.297365
0.003500,-11.990197,22.036045,2.801674,10.296926
0.004000,-11.988796,22.041193,2.801913,10.296487
0.004500,-11.987395,22.046341,2.802152,10.296048
0.150000,-11.574758,23.535047,2.868962,10.166805
0.300000,-11.139583,25.049908,2.932488,10.030931
0.450000,-10.695265,26.544214,2.990947,9.892800
0.600000,-10.242535,28.017653,3.044686,9.752764
0.750000,-9.782079,29.469962,3.094025,9.611117
0.900000,-9.314533,30.900920,3.139262,9.468106
1.050000,-8.840492,32.310336,3.180668,9.323938
1.200000,-8.360511,33.698052,3.218491,9.178789
1.350000,-7.875112,35.063931,3.252958,9.032805
1.500000,-7.384781,36.407858,3.284276,8.886114
1.650000,-6.889977,37.729735,3.312635,8.738821
1.800000,-6.391130,39.029479,3.338206,8.591019
1.950000,-5.888647,40.307020,3.361147,8.442786
2.100000,-5.382910,41.562297,3.381603,8.294189
2.250000,-4.874284,42.795261,3.399706,8.145287
2.400000,-4.363110,44.005870,3.415577,7.996130
2.550000,-3.849717,45.194090,3.429327,7.846763
2.700000,-3.334413,46.359890,3.441058,7.697223
2.850000,-2.817495,47.503250,3.450866,7.547545
3.000000,-2.299245,48.624149,3.458836,7.397758
3.150000,-1.779932,49.722573,3.465050,7.247888
3.300000,-1.259814,50.798512,3.469581,7.097957
3.450000,-0.739139,51.851958,3.472499,6.947986
3.600000,-0.218142,52.882907,3.473867,6.797993
3.750000,0.302947,53.891356,3.473746,6.647994
3.900000,0.823910,54.877305,3.472189,6.498002
4.050000,1.344535,55.840757,3.469249,6.348032
4.200000,1.864618,56.781716,3.464974,6.198093
4.350000,2.383962,57.700187,3.459409,6.048197
4.500000,2.902378,58.596178,3.452595,5.898352
4.650000,3.419681,59.469696,3.444572,5.748567
4.800000,3.935691,60.320751,3.435377,5.598850
4.950000,4.450237,61.149354,3.425044,5.449206
5.100000,4.963149,61.955517,3.413605,5.299643
5.250000,5.474264,62.739252,3.401090,5.150167
5.400000,5.983424,63.500572,3.387530,5.000781
5.550000,6.490472,64.239491,3.372949,4.851492
5.700000,6.995259,64.956024,3.357374,4.702303
5.850000,7.497636,65.650187,3.340828,4.553218
6.000000,7.997460,66.321995,3.323335,4.404242
6.150000,8.494590,66.971465,3.304914,4.255378
6.300000,8.988889,67.598614,3.285586,4.106629
6.450000,9.480221,68.203460,3.265370,3.957997
6.600000,9.968456,68.786019,3.244283,3.809487
6.750000,10.453463,69.346312,3.222343,3.661101
6.900000,10.935117,69.884356,3.199565,3.512840
7.050000,11.413292,70.400170,3.175964,3.364709
7.200000,11.887866,70.893775,3.151555,3.216708
7.350000,12.358719,71.365190,3.126350,3.068841
7.500000,12.825732,71.814434,3.100363,2.921110
7.650000,13.288789,72.241529,3.073605,2.773516
7.800000,13.747775,72.646496,3.046087,2.626062
7.950000,14.202578,73.029355,3.017821,2.478749
8.100000,14.653084,73.390128,2.988815,2.331580
8.250000,15.099186,73.728836,2.959080,2.184557
8.400000,15.540772,74.045503,2.928624,2.037682
8.550000,15.977737,74.340148,2.897456,1.890956
8.700000,16.409974,74.612797,2.865584,1.744381
8.850000,16.837378,74.863471,2.833014,1.597960
9.000000,17.259844,75.092193,2.799753,1.451694
9.150000,17.677269,75.298987,2.765809,1.305586
9.300000,18.089553,75.483876,2.731186,1.159636
9.450000,18.496592,75.646886,2.695891,1.013848
9.600000,18.898287,75.788039,2.659929,0.868223
9.750000,19.294537,75.907361,2.623304,0.722763
9.900000,19.685245,76.004876,2.586021,0.577471
10.050000,20.070311,76.080611,2.548083,0.432348
10.200000,20.449637,76.134589,2.509494,0.287396
10.350000,20.823127,76.166838,2.470258,0.142619
10.500000,21.190682,76.177384,2.430378,-0.001982
10.650000,21.552208,76.166252,2.389855,-0.146405
10.800000,21.907607,76.133471,2.348692,-0.290646
10.950000,22.256784,76.079068,2.306892,-0.434704
11.100000,22.599643,76.003069,2.264455,-0.578576
11.250000,22.936088,75.905504,2.221382,-0.722259
11.400000,23.266026,75.786401,2.177676,-0.865750
11.550000,23.589359,75.645789,2.133335,-1.009046
11.700000,23.905994,75.483697,2.088361,-1.152145
11.850000,24.215836,75.300156,2.042754,-1.295043
12.000000,24.518789,75.095194,1.996512,-1.437738
12.150000,24.814758,74.868845,1.949636,-1.580225
12.300000,25.103648,74.621137,1.902124,-1.722501
12.450000,25.385363,74.352105,1.853975,-1.864563
12.600000,25.659808,74.061779,1.805187,-2.006407
12.750000,25.926887,73.750194,1.755758,-2.148029
12.900000,26.186504,73.417382,1.705686,-2.289425
13.050000,26.438561,73.063378,1.654968,-2.430590
13.200000,26.682961,72.688217,1.603601,-2.571521
13.350000,26.919608,72.291934,1.551581,-2.712211
13.500000,27.148403,71.874565,1.498905,-2.852658
13.650000,27.369247,71.436149,1.445569,-2.992855
13.800000,27.582040,70.976722,1.391569,-3.132797
13.950000,27.786684,70.496323,1.336898,-3.272480
14.100000,27.983076,69.994991,1.281552,-3.411895
14.250000,28.171115,69.472768,1.225525,-3.551039
14.400000,28.350699,68.929693,1.168812,-3.689904
14.550000,28.521724,68.365811,1.111404,-3.828484
14.700000,28.684086,67.781163,1.053296,-3.966771
14.850000,28.837678,67.175794,0.994479,-4.104759
15.000000,28.982393,66.549751,0.934946,-4.242438
15.150000,29.118125,65.903078,0.874688,-4.379803
15.300000,29.244763,65.235826,0.813695,-4.516842
15.450000,29.362196,64.548042,0.751959,-4.653548
15.600000,29.470313,63.839779,0.689468,-4.789911
15.750000,29.568998,63.111087,0.626212,-4.925921
15.900000,29.658137,62.362021,0.562179,-5.061566
16.050000,29.737613,61.592636,0.497357,-5.196837
16.200000,29.807305,60.802989,0.431733,-5.331720
16.350000,29.867092,59.993140,0.365293,-5.466203
16.500000,29.916851,59.163149,0.298022,-5.600272
16.650000,29.956456,58.313080,0.229906,-5.733913
16.800000,29.985779,57.442997,0.160926,-5.867112
16.950000,30.004690,56.552969,0.091067,-5.999851
17.100000,30.013055,55.643066,0.020310,-6.132113
17.250000,30.010737,54.713360,-0.051364,-6.263880
17.400000,29.997599,53.763927,-0.123977,-6.395133
17.550000,29.973496,52.794847,-0.197550,-6.525850
17.700000,29.938284,51.806200,-0.272107,-6.656009
17.850000,29.891814,50.798073,-0.347671,-6.785585
18.000000,29.833931,49.770555,-0.424268,-6.914552
18.150000,29.764480,48.723739,-0.501928,-7.042883
18.300000,29.683299,47.657723,-0.580678,-7.170548
18.450000,29.590221,46.572610,-0.660551,-7.297514
18.600000,29.485076,45.468506,-0.741578,-7.423745
18.750000,29.367688,44.345525,-0.823797,-7.549204
18.900000,29.237875,43.203786,-0.907244,-7.673849
19.050000,29.095451,42.043413,-0.991958,-7.797636
19.200000,28.940222,40.864540,-1.077984,-7.920515
19.350000,28.771988,39.667307,-1.165366,-8.042434
19.500000,28.590542,38.451861,-1.254153,-8.163333
19.650000,28.395669,37.218361,-1.344397,-8.283149
19.800000,28.187147,35.966974,-1.436153,-8.401810
19.950000,27.964745,34.697879,-1.529480,-8.519240
20.100000,27.728222,33.411268,-1.624440,-8.635353
20.250000,27.477328,32.107344,-1.721102,-8.750052
20.400000,27.211802,30.786328,-1.819537,-8.863234
20.550000,26.931374,29.448456,-1.919822,-8.974780
20.700000,26.635759,28.093983,-2.022038,-9.084558
20.850000,26.324662,26.723184,-2.126272,-9.192422
21.000000,25.997772,25.336360,-2.232616,-9.298205
21.150000,25.654767,23.933836,-2.341167,-9.401722
21.300000,25.295307,22.515967,-2.452028,-9.502761
21.450000,24.919038,21.083143,-2.565305,-9.601083
21.600000,24.525589,19.635792,-2.681108,-9.696415
21.750000,24.114573,18.174384,-2.799549,-9.788448
21.900000,23.685587,16.699440,-2.920740,-9.876827
22.050000,23.238208,15.211539,-3.044790,-9.961145
22.200000,22.772002,13.711323,-3.171796,-10.040936
22.350000,22.286517,12.199511,-3.301842,-10.115669
22.500000,21.781294,10.676906,-3.434984,-10.184730
22.650000,21.255867,9.144410,-3.571237,-10.247424
22.800000,20.709770,7.603036,-3.710558,-10.302959
22.950000,20.142552,6.053924,-3.852818,-10.350448
23.100000,19.553789,4.498353,-3.997776,-10.388907
23.250000,18.943104,2.937757,-4.145036,-10.417273
23.400000,18.310192,1.373732,-4.294012,-10.434432
23.550000,17.654855,-0.191957,-4.443888,-10.439272
23.700000,16.977034,-1.757382,-4.593593,-10.430760
23.850000,16.276851,-3.320474,-4.741802,-10.408045
24.000000,15.554645,-4.879057,-4.886978,-10.370571
24.150000,14.810993,-6.430899,-5.027456,-10.318179
24.300000,14.046726,-7.973779,-5.161578,-10.251172
24.450000,13.262913,-9.505557,-5.287836,-10.170314
24.600000,12.460830,-11.024239,-5.405008,-10.076767
24.750000,11.641909,-12.528024,-5.512239,-9.971964
24.900000,10.807679,-14.015343,-5.609065,-9.857470
25.050000,9.959715,-15.484860,-5.695385,-9.734852
25.200000,9.099580,-16.935466,-5.771387,-9.605577
25.350000,8.228795,-18.366266,-5.837474,-9.470955
25.500000,7.348807,-19.776542,-5.894182,-9.332117
25.650000,6.460978,-21.165737,-5.942122,-9.190007
25.800000,5.566577,-22.533420,-5.981927,-9.045404
25.950000,4.666775,-23.879266,-6.014225,-8.898938
26.100000,3.762655,-25.203034,-6.039616,-8.751115
26.250000,2.855208,-26.504553,-6.058660,-8.602340
26.400000,1.945348,-27.783704,-6.071873,-8.452932
26.550000,1.033914,-29.040413,-6.079728,-8.303145
26.700000,0.121676,-30.274639,-6.082650,-8.153179
26.850000,-0.790654,-31.486366,-6.081025,-8.003194
27.000000,-1.702421,-32.675602,-6.075201,-7.853311
27.150000,-2.613020,-33.842370,-6.065489,-7.703630
27.300000,-3.521888,-34.986705,-6.052171,-7.554226
27.450000,-4.428503,-36.108654,-6.035499,-7.405158
27.600000,-5.332381,-37.208272,-6.015702,-7.256473
27.750000,-6.233068,-38.285617,-5.992986,-7.108205
27.900000,-7.130140,-39.340755,-5.967536,-6.960382
28.050000,-8.023201,-40.373755,-5.939522,-6.813023
28.200000,-8.911876,-41.384686,-5.909095,-6.666143
28.350000,-9.795816,-42.373622,-5.876396,-6.519752
28.500000,-10.674688,-43.340636,-5.841550,-6.373857
28.650000,-11.548179,-44.285804,-5.804674,-6.228461
28.800000,-12.415994,-45.209200,-5.765873,-6.083568
28.950000,-13.277850,-46.110899,-5.725244,-5.939176
29.100000,-14.133480,-46.990978,-5.682877,-5.795284
29.250000,-14.982630,-47.849510,-5.638852,-5.651891
29.400000,-15.825057,-48.686570,-5.593246,-5.508993
29.550000,-16.660528,-49.502232,-5.546128,-5.366586
29.700000,-17.488823,-50.296570,-5.497563,-5.224666
29.850000,-18.309728,-51.069656,-5.447610,-5.083229
30.000000,-19.123040,-51.821563,-5.396325,-4.942269
30.150000,-19.928562,-52.552361,-5.343759,-4.801782
30.300000,-20.726106,-53.262121,-5.289960,-4.661762
30.450000,-21.515490,-53.950912,-5.234972,-4.522205
30.600000,-22.296540,-54.618805,-5.178837,-4.383105
30.750000,-23.069086,-55.265867,-5.121594,-4.244458
30.900000,-23.832965,-55.892165,-5.063280,-4.106258
31.050000,-24.588018,-56.497766,-5.003927,-3.968500
31.200000,-25.334092,-57.082737,-4.943568,-3.831180
31.350000,-26.071039,-57.647142,-4.882233,-3.694294
31.500000,-26.798715,-58.191046,-4.819950,-3.557836
31.650000,-27.516978,-58.714514,-4.756744,-3.421803
31.800000,-28.225693,-59.217608,-4.692642,-3.286190
31.950000,-28.924727,-59.700392,-4.627666,-3.150994
32.100000,-29.613951,-60.162927,-4.561838,-3.016210
32.250000,-30.293237,-60.605275,-4.495179,-2.881836
32.400000,-30.962464,-61.027498,-4.427708,-2.747867
32.550000,-31.621510,-61.429656,-4.359444,-2.614301
32.700000,-32.270258,-61.811808,-4.290404,-2.481134
32.850000,-32.908593,-62.174016,-4.220605,-2.348364
33.000000,-33.536402,-62.516337,-4.150062,-2.215987
33.150000,-34.153575,-62.838831,-4.078789,-2.084002
33.300000,-34.760003,-63.141557,-4.006801,-1.952405
33.450000,-35.355580,-63.424572,-3.934110,-1.821195
33.600000,-35.940202,-63.687935,-3.860729,-1.690370
33.750000,-36.513765,-63.931702,-3.786670,-1.559928
33.900000,-37.076170,-64.155932,-3.711944,-1.429866
34.050000,-37.627316,-64.360681,-3.636561,-1.300185
34.200000,-38.167106,-64.546006,-3.560531,-1.170881
34.350000,-38.695443,-64.711964,-3.483863,-1.041955
34.500000,-39.212233,-64.858612,-3.406566,-0.913405
34.650000,-39.717382,-64.986005,-3.328649,-0.785229
34.800000,-40.210797,-65.094199,-3.250119,-0.657429
34.950000,-40.692387,-65.183252,-3.170984,-0.530002
35.100000,-41.162062,-65.253219,-3.091250,-0.402949
35.250000,-41.619733,-65.304155,-3.010924,-0.276269
