x,y
1.009860,0.003000
-0.424744,0.302958
1.050387,-0.127423
-0.672062,0.315116
0.682781,-0.201619
0.145715,0.204834
1.175108,0.043715
-0.889517,0.352532
0.244797,-0.266855
0.649249,0.073439
0.483305,0.194775
0.867758,0.144991
0.090786,0.260327
1.248789,0.027236
-1.156027,0.374637
-0.496320,-0.346808
0.308325,-0.148896
0.718014,0.092498
0.370737,0.215404
1.022980,0.111221
-0.353863,0.306894
1.131587,-0.106159
-0.898844,0.339476
0.208386,-0.269653
0.669552,0.062516
0.434896,0.200866
0.936077,0.130469
-0.096267,0.280823
1.267849,-0.028880
-1.279297,0.380355
-0.910886,-0.383789
-0.545387,-0.273266
0.310309,-0.163616
0.701576,0.093093
0.404001,0.210473
0.981970,0.121200
-0.228770,0.294591
1.221321,-0.068631
-1.156906,0.366396
-0.507409,-0.347072
0.292479,-0.152223
0.728016,0.087744
0.345733,0.218405
1.051061,0.103720
-0.442900,0.315318
1.040694,-0.132870
-0.649132,0.312208
0.722287,-0.194740
0.074882,0.216686
1.208836,0.022465
-1.023333,0.362651
-0.103445,-0.307000
0.678019,-0.031033
0.325373,0.203406
1.055191,0.097612
-0.461187,0.316557
1.018786,-0.138356
-0.591452,0.305636
0.815895,-0.177436
-0.109393,0.244768
1.228015,-0.032818
-1.144046,0.368404
-0.463975,-0.343214
0.355405,-0.139192
0.683970,0.106621
0.451680,0.205191
0.919570,0.135504
-0.048349,0.275871
1.272598,-0.014505
-1.281814,0.381780
-0.918486,-0.384544
-0.565608,-0.275546
0.276577,-0.169682
0.723225,0.082973
0.350697,0.216968
1.044784,0.105209
-0.422995,0.313435
1.062941,-0.126898
-0.708679,0.318882
0.615766,-0.212604
0.256562,0.184730
1.092576,0.076968
-0.594244,0.327773
0.833397,-0.178273
-0.150643,0.250019
1.218248,-0.045193
-1.122973,0.365474
-0.400022,-0.336892
0.439083,-0.120007
0.610082,0.131725
0.610646,0.183024
0.660981,0.183194
0.571539,0.198294
0.740974,0.171462
0.402802,0.222292
0.995144,0.120840
-0.265595,0.298543
1.199786,-0.079678
-1.094960,0.359936
-0.318578,-0.328488
0.529423,-0.095573
0.512022,0.158827
0.791794,0.153607
0.275894,0.237538
1.130973,0.082768
-0.707973,0.339292
0.637576,-0.212392
0.218504,0.191273
1.124431,0.065551
-0.704533,0.337329
0.642415,-0.211360
0.210864,0.192725
1.130476,0.063259
-0.725906,0.339143
0.601427,-0.217772
0.275828,0.180428
1.073915,0.082748
-0.531861,0.322174
0.926147,-0.159558
-0.360406,0.277844
1.095994,-0.108122
-0.789807,0.328798
0.455485,-0.236942
0.472604,0.136646
0.823949,0.141781
0.191334,0.247185
1.195933,0.057400
-0.944957,0.358780
0.108659,-0.283487
0.699983,0.032598
0.346630,0.209995
1.041782,0.103989
-0.415443,0.312534
1.070904,-0.124633
-0.730203,0.321271
0.574796,-0.219061
0.318393,0.172439
1.030515,0.095518
-0.391228,0.309155
1.094871,-0.117369
-0.795608,0.328461
0.442272,-0.238682
0.487471,0.132682
0.800002,0.146241
0.250238,0.240001
1.152334,0.075071
-0.783952,0.345700
0.485287,-0.235186
0.435109,0.145586
0.880538,0.130533
0.045046,0.264162
1.261321,0.013514
-1.213788,0.378396
-0.684198,-0.364136
-0.019515,-0.205260
0.794207,-0.005854
0.111074,0.238262
1.220990,0.033322
-1.053820,0.366297
-0.188455,-0.316146
0.634133,-0.056536
0.380489,0.190240
0.987559,0.114147
-0.251234,0.296268
1.207901,-0.075370
-1.118007,0.362370
-0.387544,-0.335402
0.454332,-0.116263
0.594753,0.136300
0.641077,0.178426
0.603055,0.192323
0.683178,0.180916
0.527492,0.204953
0.815407,0.158248
0.227404,0.244622
1.172224,0.068221
-0.855532,0.351667
0.326959,-0.256660
0.593678,0.098088
0.604653,0.178103
0.666255,0.181396
0.559942,0.199877
0.760928,0.167982
0.357366,0.228278
1.049484,0.107210
-0.434773,0.314845
1.050207,-0.130432
-0.674540,0.315062
0.678056,-0.202362
0.153974,0.203417
1.170225,0.046192
-0.871006,0.351068
0.288954,-0.261302
0.621806,0.086686
0.545387,0.186542
0.770115,0.163616
0.333308,0.231035
1.075503,0.099992
-0.519397,0.322651
0.944969,-0.155819
-0.405971,0.283491
1.052753,-0.121791
-0.673397,0.315826
0.680977,-0.202019
0.148759,0.204293
1.173312,0.044628
-0.882700,0.351994
0.261172,-0.264810
0.639695,0.078352
0.505458,0.191909
0.834226,0.151637
0.177331,0.250268
1.206243,0.053199
-0.983831,0.361873
0.006781,-0.295149
0.704786,0.002034
0.306621,0.211436
1.079813,0.091986
-0.540409,0.323944
0.915086,-0.162123
-0.334458,0.274526
1.117919,-0.100337
-0.849978,0.335376
0.323929,-0.254993
0.598105,0.097179
0.596358,0.179431
0.681532,0.178907
0.528628,0.204459
0.813233,0.158588
0.232701,0.243970
1.168160,0.069810
-0.840627,0.350448
0.361133,-0.252188
0.565228,0.108340
0.661064,0.169568
0.557760,0.198319
0.762784,0.167328
0.352753,0.228835
1.054626,0.105826
-0.451306,0.316388
