A,B,x
-30,-30,-0.96961388204548
-30,-29,-0.9390632243661732
-30,-28,-0.908350636393399
-30,-27,-0.8774789388688395
-30,-26,-0.8464511674657105
-30,-25,-0.8152705758733383
-30,-24,-0.7839406382933246
-30,-23,-0.7524650512961235
-30,-22,-0.7208477349881102
-30,-21,-0.6890928334411228
-30,-20,-0.6572047143390538
-30,-19,-0.6251879677993722
-30,-18,-0.5930474043314959
-30,-17,-0.560788051898699
-30,-16,-0.5284151520557329
-30,-15,-0.4959341551405279
-30,-14,-0.4633507145051884
-30,-13,-0.43067067977894263
-30,-12,-0.3979000891636875
-30,-11,-0.36504516077118127
-30,-10,-0.332112283019695
-30,-9,-0.2991080041169056
-30,-8,-0.2660390206648801
-30,-7,-0.23291216543201793
-30,-6,-0.19973439434564805
-30,-5,-0.16651277276746498
-30,-4,-0.13325446112199094
-30,-3,-0.09996669995562335
-30,-2,-0.06665679451043209
-30,-1,-0.03333209890258599
-30,0,0.0
-30,1,0.03333209890258599
-30,2,0.06665679451043209
-30,3,0.09996669995562335
-30,4,0.13325446112199094
-30,5,0.16651277276746498
-30,6,0.19973439434564805
-30,7,0.23291216543201793
-30,8,0.2660390206648801
-30,9,0.2991080041169056
-30,10,0.332112283019695
-30,11,0.36504516077118127
-30,12,0.3979000891636875
-30,13,0.43067067977894263
-30,14,0.4633507145051884
-30,15,0.4959341551405279
-30,16,0.5284151520557329
-30,17,0.560788051898699
-30,18,0.5930474043314959
-30,19,0.6251879677993722
-30,20,0.6572047143390538
-30,21,0.6890928334411228
-30,22,0.7208477349881102
-30,23,0.7524650512961235
-30,24,0.7839406382933246
-30,25,0.8152705758733383
-30,26,0.8464511674657105
-30,27,0.8774789388688395
-30,28,0.908350636393399
-30,29,0.9390632243661732
-29,-30,-1.0
-29,-29,-0.9686588745906426
-29,-28,-0.9371372892072664
-29,-27,-0.9054381161879506
-29,-26,-0.8735644802740331
-29,-25,-0.8415197634748324
-29,-24,-0.8093076092448693
-29,-23,-0.7769319259007538
-29,-22,-0.7443968892055408
-29,-21,-0.7117069440499415
-29,-20,-0.6788668051623338
-29,-19,-0.6458814567831445
-29,-18,-0.6127561512439026
-29,-17,-0.5794964063971174
-29,-16,-0.5461080018501308
-29,-15,-0.5125969739642121
-29,-14,-0.478969609589361
-29,-13,-0.44523243851549715
-29,-12,-0.4113922246318493
-29,-11,-0.37745595579828345
-29,-10,-0.34343083244488376
-29,-9,-0.30932425492914795
-29,-8,-0.27514380969347607
-29,-7,-0.24089725427900915
-29,-6,-0.20659250126507775
-29,-5,-0.17223760121631027
-29,-4,-0.13784072473158865
-29,-3,-0.1034101437002807
-29,-2,-0.06895421188130377
-29,-1,-0.03448134492936485
-29,0,0.0
-29,1,0.03448134492936485
-29,2,0.06895421188130377
-29,3,0.1034101437002807
-29,4,0.13784072473158865
-29,5,0.17223760121631027
-29,6,0.20659250126507775
-29,7,0.24089725427900915
-29,8,0.27514380969347607
-29,9,0.30932425492914795
-29,10,0.34343083244488376
-29,11,0.37745595579828345
-29,12,0.4113922246318493
-29,13,0.44523243851549715
-29,14,0.478969609589361
-29,15,0.5125969739642121
