phi,x,y
0.050000,0.612730,0.030662
0.100000,0.599148,0.060115
0.150000,0.585159,0.088438
0.200000,0.570778,0.115702
0.250000,0.556014,0.141974
0.300000,0.540875,0.167312
0.350000,0.525365,0.191773
0.400000,0.509484,0.215406
0.450000,0.493233,0.238259
0.500000,0.476608,0.260372
0.550000,0.459603,0.281785
0.600000,0.442211,0.302533
0.650000,0.424423,0.322648
0.700000,0.406226,0.342159
0.750000,0.387607,0.361093
0.800000,0.368551,0.379474
0.850000,0.349039,0.397322
0.900000,0.329052,0.414657
0.950000,0.308567,0.431495
1.000000,0.287561,0.447850
1.050000,0.266007,0.463734
1.100000,0.243876,0.479158
1.150000,0.221136,0.494127
1.200000,0.197752,0.508647
1.250000,0.173686,0.522721
1.300000,0.148899,0.536349
1.350000,0.123345,0.549528
1.400000,0.096976,0.562253
1.450000,0.069739,0.574516
1.500000,0.041578,0.586304
1.550000,0.012430,0.597604
1.600000,-0.017772,0.608396
1.650000,-0.049103,0.618658
1.700000,-0.081641,0.628360
1.750000,-0.115476,0.637471
1.800000,-0.150703,0.645952
1.850000,-0.187427,0.653757
1.900000,-0.225764,0.660833
1.950000,-0.265840,0.667118
2.000000,-0.307794,0.672542
2.050000,-0.351780,0.677022
2.100000,-0.397967,0.680463
2.150000,-0.446542,0.682754
2.200000,-0.497713,0.683769
2.250000,-0.551708,0.683361
2.300000,-0.608784,0.681360
2.350000,-0.669225,0.677568
2.400000,-0.733346,0.671756
2.450000,-0.801503,0.663658
2.500000,-0.874090,0.652965
2.550000,-0.951550,0.639313
2.600000,-1.034381,0.622280
2.650000,-1.123141,0.601370
2.700000,-1.218455,0.575997
2.750000,-1.321029,0.545476
2.800000,-1.431653,0.508995
2.850000,-1.551217,0.465595
2.900000,-1.680716,0.414137
2.950000,-1.821261,0.353273
3.000000,-1.974087,0.281399
3.050000,-2.140555,0.196609
3.100000,-2.322147,0.096640
3.150000,-2.520449,-0.021191
3.200000,-2.737111,-0.160049
3.250000,-2.973778,-0.323648
3.300000,-3.231965,-0.516293
3.350000,-3.512868,-0.742894
3.400000,-3.817053,-1.008912
3.450000,-4.144017,-1.320169
3.500000,-4.491542,-1.682467
3.550000,-4.854846,-2.100881
3.600000,-5.225520,-2.578620
3.650000,-5.590379,-3.115348
3.700000,-5.930510,-3.704986
3.750000,-6.221062,-4.333286
3.800000,-6.432516,-4.975912
3.850000,-6.534159,-5.598226
3.900000,-6.499833,-6.158102
3.950000,-6.314815,-6.612310
4.000000,-5.981295,-6.925270
4.050000,-5.519729,-7.077120
4.100000,-4.964898,-7.067664
4.150000,-4.358192,-6.914663
4.200000,-3.739345,-6.647731
4.250000,-3.140511,-6.300836
4.300000,-2.583774,-5.906115
4.350000,-2.081527,-5.490234
4.400000,-1.638443,-5.073150
4.450000,-1.253866,-4.668480
4.500000,-0.923942,-4.284628
4.550000,-0.643219,-3.926101
4.600000,-0.405714,-3.594699
4.650000,-0.205555,-3.290449
4.700000,-0.037321,-3.012306
4.750000,0.103804,-2.758622
4.800000,0.222003,-2.527471
4.850000,0.320852,-2.316848
4.900000,0.403377,-2.124786
4.950000,0.472125,-1.949430
5.000000,0.529229,-1.789067
5.050000,0.576475,-1.642140
5.100000,0.615357,-1.507248
5.150000,0.647123,-1.383140
5.200000,0.672821,-1.268700
5.250000,0.693329,-1.162940
5.300000,0.709386,-1.064982
5.350000,0.721612,-0.974050
5.400000,0.730534,-0.889455
5.450000,0.736595,-0.810586
5.500000,0.740171,-0.736903
5.550000,0.741584,-0.667923
5.600000,0.741106,-0.603218
5.650000,0.738968,-0.542406
5.700000,0.735370,-0.485146
5.750000,0.730482,-0.431133
5.800000,0.724449,-0.380094
5.850000,0.717396,-0.331783
5.900000,0.709430,-0.285979
5.950000,0.700643,-0.242484
6.000000,0.691114,-0.201118
6.050000,0.680910,-0.161720
6.100000,0.670089,-0.124142
6.150000,0.658700,-0.088252
6.200000,0.646785,-0.053927
6.250000,0.634380,-0.021060
6.300000,0.621513,0.010452
6.350000,0.608209,0.040698
6.400000,0.594488,0.069763
6.450000,0.580366,0.097722
