t,theta,omega,frame_num,eq_num
0.000500,0.401500,2.999217,0,0
0.001000,0.402999,2.998431,1,0
0.001500,0.404498,2.997643,2,0
0.002000,0.405997,2.996852,3,0
0.002500,0.407495,2.996058,4,0
0.003000,0.408993,2.995261,5,0
0.003500,0.410491,2.994461,6,0
0.004000,0.411988,2.993659,7,0
0.004500,0.413484,2.992854,8,0
0.050000,0.547822,2.908479,9,0
0.100000,0.690435,2.792201,10,0
0.150000,0.826684,2.654451,11,0
0.200000,0.955581,2.498759,12,0
0.250000,1.076320,2.328664,13,0
0.300000,1.188264,2.147522,14,0
0.350000,1.290939,1.958357,15,0
0.400000,1.384010,1.763766,16,0
0.450000,1.467261,1.565879,17,0
0.500000,1.540570,1.366350,18,0
0.550000,1.603888,1.166384,19,0
0.600000,1.657215,0.966781,20,0
0.650000,1.700580,0.767991,21,0
0.700000,1.734030,0.570177,22,0
0.750000,1.757613,0.373274,23,0
0.800000,1.771369,0.177052,24,0
0.850000,1.775324,-0.018824,25,0
0.900000,1.769486,-0.214743,26,0
0.950000,1.753843,-0.411084,27,0
1.000000,1.728365,-0.608165,28,0
1.050000,1.693011,-0.806188,29,0
1.100000,1.647730,-1.005173,30,0
1.150000,1.592481,-1.204901,31,0
1.200000,1.527236,-1.404854,32,0
1.250000,1.452006,-1.604150,33,0
1.300000,1.366854,-1.801491,34,0
1.350000,1.271918,-1.995123,35,0
1.400000,1.167440,-2.182818,36,0
1.450000,1.053780,-2.361880,37,0
1.500000,0.931447,-2.529210,38,0
1.550000,0.801111,-2.681400,39,0
1.600000,0.663619,-2.814899,40,0
1.650000,0.519991,-2.926214,41,0
1.700000,0.371420,-3.012150,42,0
1.750000,0.219244,-3.070061,43,0
1.800000,0.064913,-3.098070,44,0
1.850000,-0.090049,-3.095248,45,0
1.900000,-0.244099,-3.061690,46,0
1.950000,-0.395724,-2.998516,47,0
2.000000,-0.543491,-2.907761,48,0
2.050000,-0.686086,-2.792190,49,0
2.100000,-0.822350,-2.655070,50,0
2.150000,-0.951293,-2.499920,51,0
2.200000,-1.072101,-2.330273,52,0
2.250000,-1.184135,-2.149486,53,0
2.300000,-1.286915,-1.960586,54,0
2.350000,-1.380102,-1.766179,55,0
2.400000,-1.463477,-1.568403,56,0
2.450000,-1.536914,-1.368924,57,0
2.500000,-1.600361,-1.168958,58,0
2.550000,-1.653815,-0.969314,59,0
2.600000,-1.697306,-0.770453,60,0
2.650000,-1.730877,-0.572545,61,0
2.700000,-1.754575,-0.375534,62,0
2.750000,-1.768441,-0.179198,63,0
2.800000,-1.772501,0.016794,64,0
2.850000,-1.766761,0.212823,65,0
2.900000,-1.751212,0.409265,66,0
2.950000,-1.725823,0.606434,67,0
3.000000,-1.690553,0.804526,68,0
3.050000,-1.645354,1.003558,69,0
3.100000,-1.590185,1.203310,70,0
3.150000,-1.525020,1.403257,71,0
3.200000,-1.449870,1.602517,72,0
3.250000,-1.364801,1.799791,73,0
3.300000,-1.269953,1.993323,74,0
3.350000,-1.165568,2.180885,75,0
3.400000,-1.052009,2.359786,76,0
3.450000,-0.929785,2.526927,77,0
3.500000,-0.799569,2.678910,78,0
3.550000,-0.662206,2.812189,79,0
3.600000,-0.518720,2.923282,80,0
3.650000,-0.370301,3.009002,81,0
3.700000,-0.218287,3.066715,82,0
3.750000,-0.064128,3.094552,83,0
3.800000,0.090655,3.091591,84,0
3.850000,0.244519,3.057932,85,0
3.900000,0.395955,2.994697,86,0
3.950000,0.543530,2.903917,87,0
4.000000,0.685933,2.788356,88,0
4.050000,0.822007,2.651273,89,0
4.100000,0.950761,2.496177,90,0
4.150000,1.071383,2.326597,91,0
4.200000,1.183235,2.145879,92,0
4.250000,1.285836,1.957043,93,0
4.300000,1.378848,1.762690,94,0
4.350000,1.462049,1.564954,95,0
4.400000,1.535314,1.365496,96,0
4.450000,1.598590,1.165530,97,0
4.500000,1.651873,0.965865,98,0
4.550000,1.695190,0.766961,99,0
