t,theta,omega,frame_num,eq_num
0.000500,0.401750,3.495718,0,0
0.001000,0.403497,3.491438,1,0
0.001500,0.405241,3.487159,2,0
0.002000,0.406984,3.482880,3,0
0.002500,0.408724,3.478603,4,0
0.003000,0.410463,3.474327,5,0
0.003500,0.412199,3.470052,6,0
0.004000,0.413933,3.465778,7,0
0.004500,0.415664,3.461505,8,0
0.050000,0.564395,3.077968,9,0
0.100000,0.708056,2.671412,10,0
0.150000,0.831861,2.284263,11,0
0.200000,0.936853,1.919321,12,0
0.250000,1.024192,1.578285,13,0
0.300000,1.095093,1.261885,14,0
0.350000,1.150790,0.970084,15,0
0.400000,1.192501,0.702278,16,0
0.450000,1.221401,0.457483,17,0
0.500000,1.238613,0.234492,18,0
0.550000,1.245192,0.031994,19,0
0.600000,1.242132,-0.151325,20,0
0.650000,1.230358,-0.316726,21,0
0.700000,1.210738,-0.465370,22,0
0.750000,1.184083,-0.598295,23,0
0.800000,1.151155,-0.716408,24,0
0.850000,1.112676,-0.820487,25,0
0.900000,1.069329,-0.911193,26,0
0.950000,1.021770,-0.989083,27,0
1.000000,0.970627,-1.054634,28,0
1.050000,0.916505,-1.108266,29,0
1.100000,0.859992,-1.150364,30,0
1.150000,0.801655,-1.181304,31,0
1.200000,0.742041,-1.201475,32,0
1.250000,0.681680,-1.211296,33,0
1.300000,0.621076,-1.211231,34,0
1.350000,0.560713,-1.201801,35,0
1.400000,0.501043,-1.183588,36,0
1.450000,0.442490,-1.157237,37,0
1.500000,0.385443,-1.123451,38,0
1.550000,0.330256,-1.082985,39,0
1.600000,0.277243,-1.036633,40,0
1.650000,0.226677,-0.985218,41,0
1.700000,0.178791,-0.929573,42,0
1.750000,0.133776,-0.870532,43,0
1.800000,0.091781,-0.808914,44,0
1.850000,0.052915,-0.745507,45,0
1.900000,0.017248,-0.681062,46,0
1.950000,-0.015186,-0.616282,47,0
2.000000,-0.044386,-0.551814,48,0
2.050000,-0.070383,-0.488246,49,0
2.100000,-0.093234,-0.426102,50,0
2.150000,-0.113024,-0.365844,51,0
2.200000,-0.129857,-0.307869,52,0
2.250000,-0.143855,-0.252514,53,0
2.300000,-0.155157,-0.200056,54,0
2.350000,-0.163912,-0.150714,55,0
2.400000,-0.170283,-0.104659,56,0
2.450000,-0.174435,-0.062010,57,0
2.500000,-0.176542,-0.022842,58,0
2.550000,-0.176778,0.012808,59,0
2.600000,-0.175320,0.044943,60,0
2.650000,-0.172342,0.073596,61,0
2.700000,-0.168017,0.098831,62,0
2.750000,-0.162514,0.120735,63,0
2.800000,-0.155997,0.139420,64,0
2.850000,-0.148624,0.155016,65,0
2.900000,-0.140545,0.167668,66,0
2.950000,-0.131903,0.177537,67,0
3.000000,-0.122834,0.184792,68,0
3.050000,-0.113464,0.189613,69,0
3.100000,-0.103911,0.192183,70,0
3.150000,-0.094281,0.192691,71,0
3.200000,-0.084673,0.191326,72,0
3.250000,-0.075176,0.188279,73,0
3.300000,-0.065870,0.183737,74,0
3.350000,-0.056824,0.177884,75,0
3.400000,-0.048100,0.170901,76,0
3.450000,-0.039750,0.162959,77,0
3.500000,-0.031817,0.154226,78,0
3.550000,-0.024338,0.144859,79,0
3.600000,-0.017340,0.135008,80,0
3.650000,-0.010843,0.124811,81,0
3.700000,-0.004862,0.114399,82,0
3.750000,0.000595,0.103891,83,0
3.800000,0.005527,0.093397,84,0
3.850000,0.009937,0.083014,85,0
3.900000,0.013832,0.072830,86,0
3.950000,0.017225,0.062925,87,0
4.000000,0.020130,0.053364,88,0
4.050000,0.022568,0.044207,89,0
4.100000,0.024559,0.035502,90,0
4.150000,0.026126,0.027289,91,0
4.200000,0.027296,0.019599,92,0
4.250000,0.028095,0.012455,93,0
4.300000,0.028551,0.005873,94,0
4.350000,0.028692,-0.000138,95,0
4.400000,0.028547,-0.005575,96,0
4.450000,0.028144,-0.010441,97,0
4.500000,0.027512,-0.014744,98,0
4.550000,0.026679,-0.018497,99,0
4.600000,0.025671,-0.021717,100,0
4.650000,0.024516,-0.024424,101,0
4.700000,0.023237,-0.026641,102,0
4.750000,0.021859,-0.028394,103,0
4.800000,0.020405,-0.029709,104,0
4.850000,0.018895,-0.030617,105,0
4.900000,0.017349,-0.031147,106,0
4.950000,0.015786,-0.031331,107,0
5.000000,0.014222,-0.031200,108,0
5.050000,0.012671,-0.030784,109,0
5.100000,0.011147,-0.030115,110,0
5.150000,0.009663,-0.029224,111,0
5.200000,0.008228,-0.028139,112,0
5.250000,0.006852,-0.026891,113,0
5.300000,0.005541,-0.025506,114,0
5.350000,0.004303,-0.024010,115,0
5.400000,0.003142,-0.022428,116,0
5.450000,0.002061,-0.020784,117,0
5.500000,0.001064,-0.019099,118,0
5.550000,0.000152,-0.017392,119,0
5.600000,-0.000675,-0.015683,120,0
5.650000,-0.001417,-0.013988,121,0
5.700000,-0.002074,-0.012321,122,0
5.750000,-0.002649,-0.010696,123,0
5.800000,-0.003145,-0.009123,124,0
5.850000,-0.003563,-0.007614,125,0
5.900000,-0.003907,-0.006176,126,0
5.950000,-0.004182,-0.004817,127,0
6.000000,-0.004390,-0.003541,128,0
6.050000,-0.004537,-0.002353,129,0
6.100000,-0.004627,-0.001256,130,0
6.150000,-0.004664,-0.000251,131,0
6.200000,-0.004654,0.000660,132,0
6.250000,-0.004600,0.001478,133,0
6.300000,-0.004508,0.002205,134,0
6.350000,-0.004381,0.002841,135,0
6.400000,-0.004225,0.003389,136,0
6.450000,-0.004043,0.003853,137,0
6.500000,-0.003841,0.004237,138,0
6.550000,-0.003621,0.004543,139,0
6.600000,-0.003388,0.004777,140,0
6.650000,-0.003145,0.004943,141,0
6.700000,-0.002895,0.005047,142,0
6.750000,-0.002641,0.005092,143,0
6.800000,-0.002386,0.005085,144,0
6.850000,-0.002133,0.005031,145,0
6.900000,-0.001884,0.004933,146,0
6.950000,-0.001640,0.004798,147,0
7.000000,-0.001405,0.004630,148,0
7.050000,-0.001178,0.004434,149,0
7.100000,-0.000962,0.004215,150,0
7.150000,-0.000757,0.003977,151,0
7.200000,-0.000564,0.003723,152,0
7.250000,-0.000385,0.003458,153,0
7.300000,-0.000218,0.003186,154,0
7.350000,-0.000066,0.002909,155,0
7.400000,0.000072,0.002631,156,0
7.450000,0.000197,0.002354,157,0
7.500000,0.000308,0.002081,158,0
7.550000,0.000405,0.001815,159,0
7.600000,0.000490,0.001557,160,0
7.650000,0.000561,0.001308,161,0
7.700000,0.000621,0.001071,162,0
7.750000,0.000668,0.000846,163,0
7.800000,0.000705,0.000634,164,0
7.850000,0.000732,0.000437,165,0
7.900000,0.000749,0.000254,166,0
7.950000,0.000758,0.000086,167,0
8.000000,0.000758,-0.000066,168,0
8.050000,0.000751,-0.000204,169,0
8.100000,0.000738,-0.000326,170,0
8.150000,0.000719,-0.000434,171,0
8.200000,0.000695,-0.000527,172,0
8.250000,0.000667,-0.000606,173,0
8.300000,0.000634,-0.000672,174,0
8.350000,0.000599,-0.000726,175,0
8.400000,0.000562,-0.000767,176,0
8.450000,0.000523,-0.000797,177,0
8.500000,0.000483,-0.000817,178,0
8.550000,0.000441,-0.000827,179,0
8.600000,0.000400,-0.000828,180,0
8.650000,0.000359,-0.000821,181,0
8.700000,0.000318,-0.000808,182,0
8.750000,0.000278,-0.000787,183,0
8.800000,0.000239,-0.000761,184,0
8.850000,0.000202,-0.000731,185,0
8.900000,0.000166,-0.000696,186,0
8.950000,0.000132,-0.000658,187,0
9.000000,0.000101,-0.000618,188,0
9.050000,0.000071,-0.000575,189,0
9.100000,0.000043,-0.000531,190,0
9.150000,0.000018,-0.000486,191,0
9.200000,-0.000006,-0.000441,192,0
9.250000,-0.000026,-0.000396,193,0
9.300000,-0.000045,-0.000351,194,0
9.350000,-0.000062,-0.000308,195,0
9.400000,-0.000076,-0.000265,196,0
9.450000,-0.000088,-0.000224,197,0
9.500000,-0.000098,-0.000185,198,0
9.550000,-0.000107,-0.000148,199,0
9.600000,-0.000113,-0.000113,200,0
9.650000,-0.000118,-0.000080,201,0
9.700000,-0.000121,-0.000050,202,0
9.750000,-0.000123,-0.000022,203,0
9.800000,-0.000123,0.000004,204,0
9.850000,-0.000123,0.000027,205,0
9.900000,-0.000121,0.000048,206,0
9.950000,-0.000118,0.000066,207,0
10.000000,-0.000114,0.000082,208,0
10.050000,-0.000110,0.000095,209,0
10.100000,-0.000105,0.000106,210,0
10.150000,-0.000099,0.000116,211,0
10.200000,-0.000093,0.000123,212,0
10.250000,-0.000087,0.000128,213,0
10.300000,-0.000080,0.000132,214,0
10.350000,-0.000074,0.000134,215,0
10.400000,-0.000067,0.000135,216,0
10.450000,-0.000060,0.000134,217,0
10.500000,-0.000054,0.000132,218,0
10.550000,-0.000047,0.000129,219,0
10.600000,-0.000041,0.000125,220,0
10.650000,-0.000035,0.000120,221,0
10.700000,-0.000029,0.000115,222,0
10.750000,-0.000023,0.000109,223,0
10.800000,-0.000018,0.000102,224,0
10.850000,-0.000013,0.000096,225,0
10.900000,-0.000008,0.000088,226,0
10.950000,-0.000004,0.000081,227,0
11.000000,-0.000000,0.000074,228,0
11.050000,0.000003,0.000066,229,0
11.100000,0.000006,0.000059,230,0
11.150000,0.000009,0.000052,231,0
11.200000,0.000012,0.000045,232,0
11.250000,0.000014,0.000038,233,0
11.300000,0.000016,0.000032,234,0
11.350000,0.000017,0.000026,235,0
11.400000,0.000018,0.000020,236,0
11.450000,0.000019,0.000015,237,0
11.500000,0.000020,0.000009,238,0
11.550000,0.000020,0.000005,239,0
11.600000,0.000020,0.000001,240,0
11.650000,0.000020,-0.000003,241,0
11.700000,0.000020,-0.000007,242,0
11.750000,0.000019,-0.000010,243,0
11.800000,0.000019,-0.000013,244,0
11.850000,0.000018,-0.000015,245,0
11.900000,0.000017,-0.000017,246,0
11.950000,0.000016,-0.000018,247,0
12.000000,0.000015,-0.000020,248,0
12.050000,0.000014,-0.000021,249,0
12.100000,0.000013,-0.000021,250,0
12.150000,0.000012,-0.000022,251,0
12.200000,0.000011,-0.000022,252,0
12.250000,0.000010,-0.000022,253,0
12.300000,0.000009,-0.000022,254,0
12.350000,0.000008,-0.000021,255,0
12.400000,0.000007,-0.000021,256,0
12.450000,0.000006,-0.000020,257,0
12.500000,0.000005,-0.000019,258,0
12.550000,0.000004,-0.000018,259,0
12.600000,0.000003,-0.000017,260,0
